name,bigtype,material,description,url
미역국,한식,미역,"1. 미역 50g을 물에 불려서 잘게 썰어줍니다. 소고기 100g도 적당한 크기로 잘라줍니다.
2. 팬에 기름을 두르고 소고기를 볶다가 미역을 추가하여 함께 볶습니다.
3. 볶은 재료에 물 2L를 부어 섞은 후 중불에서 끓여줍니다.
4. 국이 충분히 우러난 후, 간장과 소금으로 간을 맞춥니다.
5. 마지막으로 대파를 넣고 한소끔 더 끓여 완성",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/미역국/main.jpeg
무국,한식,"무, 쌀","1. 무 200g과 소고기 100g를 적당한 크기로 잘라줍니다.
2. 팬에 기름을 두르고 소고기를 볶다가 무를 추가하여 함께 볶습니다.
3. 볶은 재료에 물 2L를 부어 섞은 후 중불에서 끓여줍니다.
4. 국이 충분히 우러난 후, 간장과 소금으로 간을 맞춥니다.
5. 마지막으로 대파와 마늘을 넣고 한소끔 더 끓여 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/무국/main.jpeg
콩나물국,한식,콩나물,"1. 콩나물 200g을 준비하고, 고춧가루 1스푼, 소금 1/2스푼, 대파와 마늘을 적당량 준비합니다.
2. 냄비에 물 2L를 붓고 콩나물과 대파를 넣어줍니다.
3. 중불에서 약 15분 동안 끓여줍니다.
4. 국이 충분히 우러난 후, 고춧가루와 소금으로 간을 맞춥니다.
5. 마지막으로 다진 마늘을 넣고 한소끔 더 끓여 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/콩나물국/main.jpeg
김치콩나물국,한식,"김치, 콩나물","1. 콩나물 200g, 숙성된 김치 100g을 준비하고, 대파와 마늘을 적당량 준비합니다.
2. 팬에 기름을 두르고 김치를 볶다가 콩나물과 대파를 추가하여 함께 볶습니다.
3. 볶은 재료에 물 2L를 부어 섞은 후 중불에서 끓여줍니다.
4. 국이 충분히 우러난 후, 소금으로 간을 맞춥니다.
5. 마지막으로 다진 마늘을 넣고 한소끔 더 끓여 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/김치콩나물국/main.jpeg
사골곰탕,한식,뼈,"1. 사골을 청결하게 씻은 후 충분한 물에 넣고 30분간 불려준다.
2. 물에 사골을 넣고 센불에서 끓인 후, 육수가 탁해지면 거품을 제거한다.
3. 중불로 줄인 후 5~6시간 이상 천천히 우려낸다.
4. 우려낸 육수를 체로 걸러준다.
5. 사골육수와 소고기를 함께 팔팔 끓여준다.
6. 간은 간장과 소금으로 맞춰 완성한다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/사골곰탕/main.jpeg
북엇국,한식,북어,"1. 소고기(불고기용) 150g을 준비하고, 대파와 마늘을 적당량 준비합니다.
2. 냄비에 물 2L를 붓고 소고기를 넣어줍니다.
3. 중불에서 약 20분 동안 끓여 고기가 익도록 합니다.
4. 고기가 익은 후, 간장과 소금으로 간을 맞춥니다.
5. 마지막으로 다진 대파와 마늘을 넣고 한소끔 더 끓여 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/북엇국/main.jpeg
우거지국,한식,우거지,"1. 소고기 200g과 우거지(대배추) 300g을 적당한 크기로 잘라줍니다.
2. 냄비에 물 2L를 붓고 소고기를 넣어줍니다.
3. 중불에서 약 20분 동안 끓여 고기가 익도록 합니다.
4. 고기가 익은 후, 우거지를 추가하고 다시 한 번 끓입니다.
5. 국이 충분히 우러난 후, 간장과 소금으로 간을 맞춰 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/우거지국/main.jpeg
시래기국,한식,시래기,"1. 물에 담가둔 시래기 200g과 소고기 100g를 적당한 크기로 잘라줍니다.
2. 팬에 기름을 두르고 소고기를 볶다가 시래기를 추가하여 함께 볶습니다.
3. 볶은 재료에 물 2L를 부어 섞은 후 중불에서 끓여줍니다.
4. 국이 충분히 우러난 후, 간장과 소금으로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/시래기국/main.jpeg
배추된장국,한식,배추,"1. 배추 200g과 된장 2스푼을 준비하고, 대파와 마늘을 적당량 준비합니다.
2. 냄비에 물 2L를 붓고 된장을 넣어 잘 풀어줍니다.
3. 중불에서 약 10분 동안 끓여줍니다.
4.국이 충분히 우러난 후, 배추를 넣고 다시 한 번 끓입니다.
5. 배추가 익은 후, 소금으로 간을 맞춥니다.
6. 마지막으로 다진 마늘을 넣고 한소끔 더 끓여 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/배추된장국/main.jpeg
매생이국,한식,매생이,"1. 매생이 200g을 물에 씻어 깨끗이 준비합니다.
2. 냄비에 물 2L를 붓고 매생이를 넣어줍니다.
3. 중불에서 약 20분 동안 끓여 매생이가 익도록 합니다.
4. 국이 충분히 우러난 후, 소금과 간장으로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/매생이국/main.jpeg
올갱이국,한식,올갱이,"1. 올갱이 200g을 물에 씻어 깨끗이 준비합니다.
2. 냄비에 물 2L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
3. 육수가 충분히 나면 멸치와 다시마는 건져내고, 올갱이를 넣어줍니다.
4. 중불에서 약 15분 동안 끓여 올갱이가 익도록 합니다.
5. 국이 충분히 우러난 후, 소금과 간장으로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/올갱이국/main.jpeg
뼈해장국,한식,뼈,"1. 돼지 뼈 1kg은 충분히 물에 담가 핏물을 제거한 후, 깨끗이 씻어줍니다.
2. 큰 냄비에 물을 가득 채우고 돼지 뼈를 넣어준 후 강불에서 10분간 끓여줍니다.
3. 끓인 돼지뼈는 체에 받쳐 국물은 버리고, 다시 한번 흐르는 물로 씻어주며 잡내를 제거합니다.
4. 깨끗이 씻은 돼지뼈를 다시 큰 냄비에 넣고 충분한 양의 물과 함께 중약불에서 2-3시간 정도 천천히 우려내 줍니다.
5. 우려낸 육수에 소금, 후춧가루, 마늘 등으로 간을 맞춥니다.
6. 마지막으로 대파와 소면(선택사항)을 넣고 한소끔더 끓여 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/뼈해장국/main.jpeg
된장국,한식,된장,"1. 물과 다시마, 멸치 등을 넣어 육수를 내고, 이후 다시마와 멸치는 건져낸다.
2. 육수에 된장을 풀어넣고 잘 섞는다.
3. 두부와 야채(대표적으로 고사리, 애호박 등)를 넣고 중불에서 10-15분간 끓인다.
4. 마늘과 소금으로 간을 맞추고, 대파를 넣어 한소끔 더 끓인다.
5. 완성된 된장국을 그릇에 담아낸다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/된장국/main.jpeg
계란감자국,한식,"계란, 감자","1. 감자 2개를 깍뚝썰기로 잘라두고, 계란 2개는 잘 풀어둡니다.
2. 냄비에 물 1.5L를 붓고 감자를 넣어줍니다.
3. 중불에서 약 15분 동안 끓여 감자가 익도록 합니다.
4. 감자가 충분히 익었다면, 소금으로 간을 맞춥니다.
5. 풀어둔 계란을 천천히 부어주면서 국물과 잘 섞습니다.
6. 마지막으로 다진 대파를 넣고 한소끔 더 끓여 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/계란감자국/main.jpeg
계란국,한식,계란,"1. 계란 2개를 잘 풀어둡니다.
2. 냄비에 물 2L를 붓고 중불에서 끓여줍니다.
3. 물이 끓으면 다시마나 멸치로 육수를 내줍니다(약 10분).
4. 육수가 충분히 나면 멸치나 다시마는 건져내고, 소금으로 간을 맞춥니다.
5. 간이 완료되면 풀어둔 계란을 천천히 부어줍니다.
6. 마지막으로 대파를 넣고 한소끔 더 끓여 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/계란국/main.jpeg
감자국,한식,"감자, 쌀","1. 감자 3개, 대파 1대를 적당한 크기로 잘라줍니다.
2. 냄비에 참기름을 약간 두르고 감자와 대파를 볶아줍니다.
3. 감자가 투명해질 때까지 중불에서 볶은 후, 물 2L를 부어줍니다.
4. 끓기 시작하면 중약불로 줄이고, 국이 충분히 우러날 때까지 약 20분 동안 끓여줍니다.
5. 마늘과 소금으로 간을 맞추고 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/감자국/main.jpeg
오징어무국,한식,"오징어, 무","1. 오징어 1마리와 무 200g을 적당한 크기로 잘라줍니다.
2. 냄비에 물 2L를 붓고 무를 넣어줍니다.
3. 중불에서 약 15분 동안 끓여 무가 익도록 합니다.
4. 무가 충분히 익었다면, 오징어를 넣고 다시 한 번 끓입니다.
5. 국이 충분히 우러난 후, 소금과 간장으로 간을 맞춰 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/오징어무국/main.jpeg
어묵탕,한식,어묵,"1. 어묵 200g을 적당한 크기로 잘라줍니다.
2. 냄비에 물 1L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
3. 육수가 충분히 나면 멸치와 다시마는 건져내고, 어묵과 대파를 넣어줍니다.
4. 중불에서 약 10분 동안 끓여 어묵이 익도록 합니다.
5. 국이 충분히 우러난 후, 소금과 간장으로 간을 맞춥니다.
6. 마지막으로 고춧가루와 마늘을 넣고 한소끔 더 끓여 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/어묵탕/main.jpeg
육개장,한식,소고기,"1. 소고기(뼈 없는 부분) 300g을 물에 담가 핏물을 제거한 후, 적당한 크기로 잘라줍니다.
2. 냄비에 물 2L를 붓고, 소고기를 넣어준 후 중약불에서 약 30분간 육수를 내 줍니다.
3. 대파, 양파, 마늘 등을 넣어 향을 내 준 후, 고추장과 고추가루로 매운맛을 추가합니다.
4. 깻잎, 무 등 원하는 야채를 넣어줍니다.
5. 간은 간장과 소금으로 조절해 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/육개장/main.jpeg
갈비탕,한식,갈비살,"1. 소갈비 1kg은 물에 담가 핏물을 제거한 후, 깨끗이 씻어줍니다.
2. 큰 냄비에 갈비와 충분한 양의 물을 넣고 강불에서 약 10분간 끓여 핏물을 제거합니다.
3. 한 번 끓인 갈비는 체에 받쳐 국물은 버리고, 흐르는 물로 씻어 잡내를 제거합니다.
4. 다시 큰 냄비에 갈비와 충분한 양의 물을 넣고 중약불에서 2-3시간 정도 천천히 우려내 줍니다.
5. 우려낸 육수에 대파, 마늘 등으로 향을 낸 후, 소금과 후춧가루로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/갈비탕/main.jpeg
삼계탕,한식,닭,"1. 통닭을 깨끗이 씻은 후, 대파, 마늘, 생강과 함께 큰 냄비에 넣는다.
2. 물을 충분히 붓고 약 1시간 동안 중불에서 끓인다.
3. 찹쌀, 대추, 인삼 등을 넣고 다시 1시간 이상 더 끓인다.
4. 소금으로 간을 맞추고 필요하면 닭이 부드럽게 익도록 추가로 더 끓인다.
5. 완성된 삼계탕을 그릇에 담아낸다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/삼계탕/main.jpeg
추어탕,한식,미꾸라지,"1. 추어 500g는 내장을 제거하고, 물에 담가 핏물을 제거한 후, 깨끗이 씻어줍니다.
2. 큰 냄비에 추어와 충분한 양의 물을 넣고 강불에서 약 30분간 끓여줍니다.
3. 한 번 끓인 추어는 체에 받쳐 국물은 버리고, 흐르는 물로 씻어 잡내를 제거합니다.
4. 다시 큰 냄비에 추어와 충분한 양의 물을 넣고 중약불에서 2-3시간 정도 천천히 우려내 줍니다.
5. 우려낸 육수에 대파, 마늘 등으로 향을 낸 후, 소금과 후춧가루로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/추어탕/main.jpeg
꽃게탕,한식,꽃게,"1. 꽃게 2마리는 솔로 깨끗이 닦아준 후, 가위로 다리 사이사이를 잘라줍니다.
2. 냄비에 물 1.5L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
3. 육수가 충분히 나면 멸치와 다시마는 건져내고, 꽃게를 넣어줍니다.
4. 중불에서 약 20분 동안 끓여 국물의 맛을 내줍니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/꽃게탕/main.jpeg
홍합탕,한식,홍합,"1. 홍합 500g은 깨끗이 씻어내고, 물에 담가 모래를 제거합니다.
2. 냄비에 홍합과 물 1L을 넣고, 중약불에서 약 10분간 끓여줍니다.
3. 홍합이 입을 벌리면 체로 걸러내어 국물은 따로 보관합니다.
4. 냄비에 다시마 육수와 준비한 국물을 붓고, 대파와 마늘로 향을 낸 후 소금으로 간을 맞춥니다.
5. 육수가 충분히 우러나면 홍합과 청양고추를 넣어준 후 약 5분 동안 한소끔 끓여줍니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/홍합탕/main.jpeg
해물누룽지탕,한식,"해물, 누룽지","1. 해산물(새우, 조개, 오징어 등) 300g은 깨끗이 씻어줍니다.
2. 냄비에 찹쌀 200g과 물 1L을 넣고 중약불에서 약 20분간 끓여 누룽지를 만듭니다.
3. 다른 팬에 식용유를 두르고 마늘을 볶은 후, 준비한 해산물을 넣고 볶아줍니다.
4. 해산물이 익으면 간장, 고춧가루, 설탕 등으로 간을 맞춥니다.
5. 해산물 볶음과 누룽지를 함께 넣고 섞어서 한소끔 더 끓입니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/해물누룽지탕/main.jpeg
된장찌개,한식,된장,"1. 냄비에 물 1L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
2. 육수가 충분히 나면 멸치와 다시마는 건져내고, 된장 3큰술을 넣어 풀어줍니다.
3. 두부, 양파, 대파, 애호박 등 원하는 재료를 넣고 중불에서 약 10분간 끓여줍니다.
4. 마지막으로 고추와 마늘을 넣고 한소끔 더 끓인 후, 소금과 고춧가루로 간을 맞춰 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/된장찌개/main.jpeg
차돌된장찌개,한식,"차돌박이, 된장","1. 냄비에 물 1L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
2. 육수가 충분히 나면 멸치와 다시마는 건져내고, 된장 3큰술을 넣어 풀어줍니다.
3. 차돌박이 200g을 넣고 중불에서 약 10분간 끓여줍니다.
4. 두부, 양파, 대파, 애호박 등 원하는 재료를 넣고 중불에서 약 10분간 계속해서 끓여줍니다.
5. 마지막으로 고추와 마늘을 넣고 조금 더 끓인 후, 소금과 고춧가루로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/차돌된장찌개/main.jpeg
꽃게된장찌개,한식,"꽃게, 된장","1. 꽃게 2마리는 솔로 깨끗이 닦아준 후, 가위로 다리 사이사이를 잘라줍니다.
2. 냄비에 물 1L를 붓고, 다시마와 멸치로 육수를 내줍니다(약 10분).
3. 육수가 충분히 나면 멸치와 다시마는 건져내고, 된장 3큰술을 넣어 풀어줍니다.
4. 꽃게를 넣고 중불에서 약 10분간 끓여줍니다.
5. 양파, 대파, 애호박 등 원하는 재료와 마늘을 넣고 중불에서 약 10분간 계속해서 끓여줍니다.
6. 마지막으로 고추를 넣고 조금 더 요리한 후, 소금과 고춧가루로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/꽃게된장찌개/main.jpeg
김치찌개,한식,김치,"1. 냄비에 돼지고기 200g과 김치 500g을 넣고 중불에서 볶아줍니다.
2. 고기가 반쯤 익으면 김치국물 1컵과 물 2컵을 추가합니다.
3. 끓어오르면 중약불로 줄이고 약 20분간 끓여줍니다.
4. 양파, 대파, 통마늘 등 원하는 재료를 넣고 다시 한번 끓여줍니다.
5. 마지막으로 고추를 넣고 조금 더 요리한 후, 소금과 고춧가루로 간을 맞춥니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/김치찌개/main.jpeg
